Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Tunisia,TUN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,5.23516,4.88936,5.28605,5.45763,5.51745,5.53972,5.87949,,,,5.79086,6.02747,5.75489,5.98377,6.17647,6.42976,6.28781,6.67903,,6.27099,6.20198,6.20183,5.79003,6.81673,6.72078,6.45157,6.43859,6.46552,6.27219,6.52848,6.25481,,6.25037,,,6.59921,,,,,
Tunisia,TUN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72396,21.6749,21.81671,23.35724,23.13493,25.95522,,24.90079,24.59178,24.64776,22.88013,27.68429,27.83381,26.69569,26.86131,26.42863,25.25867,25.26201,24.84683,,20.99101,,,22.62495,,,,,
Tunisia,TUN,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.18381,85.51468,86.39204,88.39895,,,,,,89.9899,88.02487,89.64923,,,,,,,,,,
Tunisia,TUN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,2.80818,2.70734,2.40309,2.49864,2.66319,3.72236,4.06417,4.60925,4.88601,4.97372,5.09879,5.09594,5.10549,5.13157,5.46286,5.70242,5.47115,5.766,7.07202,8.03809,8.68948,9.50604,10.81045,11.65241,12.22457,13.13142,13.87404,15.24628,16.88181,19.20267,21.69548,23.28436,27.4547,29.90095,31.76469,32.43256,32.67416,33.74513,34.99985,35.41903,35.17035,35.87718,34.95699,35.33421,35.19114,32.81536,32.14938,31.74652,,
Tunisia,TUN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,,,,,,,,,,,,,,,,,,,38.39164,38.93947,40.46076,,,34.90514,33.74172,30.62299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"School enrollment, secondary (% net)",SE.SEC.NENR,,,,,,,,,,,,,,,,,,,20.30324,21.48234,22.25563,,,28.70101,30.44482,32.36521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.6,2.4,2.7,2.7,2.4,2.7,,3,,,,,,,,
Tunisia,TUN,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,38.14209892,42.72847705,33.86528551,31.62893259,30.71340051,29.7074434,30.07734844,36.5624813,40.93365127,50.07683564,60.2904199,63.23530166,68.69840944,64.05425502,79.61009547,93.59230105,94.29997521,95.03431536,98.07543396,100.3707597,100,113.347521,117.5060469,137.2067383,165.5480629,179.3731785,199.8983103,259.2308915,330.2472073,246.9190705,280.7886464,305.0685025,290.7181183,291.625977,286.4133952,240.5653264,231.9940233,242.7962165,265.5336201,,
Tunisia,TUN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,120000000,110000000,116000000,126000000,130000000,120000000,140000000,149000000,158000000,166000000,182000000,217000000,315000000,422000000,921000000,856000000,788000000,929000000,1126000000,1791000000,2198000000,2500000000,1986000000,1850000000,1794000000,1738000000,1759000000,2139000000,2395000000,2930000000,3526000000,3699000000,4019000000,3802000000,4657000000,5475000000,5516000000,5559000000,5738000000,5872000000,5850000000,6631000000,6874000000,8027000000,9685000000,10494000000,11694000000,15165000000,19320000000,14445000000,16427000000,17847000000,17007000000,17061000000,16756000000,14073000000,13572000000,14204000000,15534000000,,
Tunisia,TUN,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,12.3012552301255,4.44242973708069,3.45721694036301,5.98086124401914,8.46273291925466,7.08924103419516,7.38112136266856,6.95652173913043,9.52978056426332,9.97906489881368,14.102354924675,12.0263061074319,6.9997104899154,9.19899433727296,6.87353516152376,10.1504637742109,4.57084105506334,5.36637604655691,8.01952203432564,5.63661367142953,3.88649396344493,7.85116754812863,5.69251320663064,4.92797189806292,6.00141351957074,6.23209169054441,9.52518584459577,6.46981953077064,7.5260899436494,10.0415022548342,10.4542257578201,9.89774224146612,9.80950898491324,9.97484624106531,8.21800411804909,8.63068848596124,7.6525758035678,7.21689130122173,6.66689107881687,5.83386854992283,8.08071645921069,8.31325014759956,9.03169612527914,7.69746726627889,6.95011742380147,9.23214846416302,9.5313205294987,9.26970523214774,9.87783574324227,12.591405195493,11.0180453926849,10.4251715106532,11.1648537621796,11.181608962656,11.2594795775774,11.4712719663911,11.6095983024361,9.23409745204448,9.47742622201665,,
